CustomerID,Age,Family,Experience,EducUnder,EducGrad,EducProf,Income,CCAvg,Mortgage,Security,Credit,Online,Loan
1,25,4,1,1,0,0,49,1.6,0,1,0,0,0
2,45,3,19,1,0,0,34,1.5,0,1,0,0,0
3,39,1,15,1,0,0,11,1,0,0,0,0,0
4,35,1,9,0,1,0,100,2.7,0,0,0,0,0
5,35,4,8,0,1,0,45,1,0,0,1,0,0
6,37,4,13,0,1,0,29,0.4,155,0,0,1,0
7,53,2,27,0,1,0,72,1.5,0,0,0,1,0
8,50,1,24,0,0,1,22,0.3,0,0,1,0,0
9,35,3,10,0,1,0,81,0.6,104,0,0,1,0
10,34,1,9,0,0,1,180,8.9,0,0,0,0,1
11,65,4,39,0,0,1,105,2.4,0,0,0,0,0
12,29,3,5,0,1,0,45,0.1,0,0,0,1,0
13,48,2,23,0,0,1,114,3.8,0,1,0,0,0
14,59,4,32,0,1,0,40,2.5,0,0,0,1,0
15,67,1,41,1,0,0,112,2,0,1,0,0,0
16,60,1,30,0,0,1,22,1.5,0,0,1,1,0
17,38,4,14,0,0,1,130,4.7,134,0,0,0,1
18,42,4,18,1,0,0,81,2.4,0,0,0,0,0
19,46,2,21,0,0,1,193,8.1,0,0,0,0,1
20,55,1,28,0,1,0,21,0.5,0,1,1,0,0
21,56,4,31,0,1,0,25,0.9,111,0,0,1,0
22,57,3,27,0,0,1,63,2,0,0,0,1,0
23,29,1,5,1,0,0,62,1.2,260,0,0,1,0
24,44,2,18,1,0,0,43,0.7,163,1,0,0,0
25,36,2,11,1,0,0,152,3.9,159,0,1,0,0
26,43,3,19,1,0,0,29,0.5,97,0,0,1,0
27,40,4,16,0,0,1,83,0.2,0,0,0,0,0
28,46,1,20,1,0,0,158,2.4,0,0,1,1,0
29,56,1,30,0,0,1,48,2.2,0,0,1,1,0
30,38,1,13,0,1,0,119,3.3,0,0,1,1,1
31,59,1,35,0,0,1,35,1.2,122,0,0,1,0
32,40,1,16,0,1,0,29,2,0,0,0,1,0
33,53,2,28,0,0,1,41,0.6,193,0,0,0,0
34,30,3,6,0,0,1,18,0.9,0,0,0,0,0
35,31,4,5,0,0,1,50,1.8,0,0,0,1,0
36,48,3,24,1,0,0,81,0.7,0,0,0,0,0
37,59,1,35,1,0,0,121,2.9,0,0,1,0,0
38,51,1,25,0,0,1,71,1.4,198,0,0,0,0
39,42,3,18,0,0,1,141,5,0,1,0,1,1
